Reference,Account Number,Description,Start Balance,Mutation,End Balance
127876,NL32RABO0195610843,Flowers from Erik de Vries,103.36,-30.06,73.3
112806,NL93ABNA0585619023,Clothes for Rik Bakker,47.67,-27.24,20.43
128810,NL93ABNA0585619023,Candy from Vincent Bakker,27.83,+43.1,70.93
141805,NL91RABO0315273637,Tickets from Daniël Bakker,41.85,+17.43,59.28
112806,NL90ABNA0585647886,Clothes for Peter Bakker,61.37,-9.33,52.04
112806,NL91RABO0315273637,Flowers from Jan Bakker,37.02,+20.03,57.05
112033,NL43AEGO0773393871,Subscription for Rik Dekker,77,-42.99,34.01
147698,NL27SNSB0917829871,Clothes for Jan King,93.21,+0.04,93.25
193735,NL27SNSB0917829871,Subscription for Jan de Vries,98.22,-21.15,77.07
182517,NL69ABNA0433647324,Candy for Vincent King,75.42,+15.85,91.27
